Type of Food,Number of Guests,Event Type,Quantity of Food,Storage Conditions,Purchase History,Seasonality,Preparation Method,Geographical Location,Pricing,Wastage Food Amount
Dairy Products,260.0,Social Gathering,400.0,ROOM TEMPERATURE,Regular,Winter,Sit-down Dinner,Urban,Low,20.0
Vegetables,350.0,Social Gathering,450.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20.0
Fruits,350.0,Social Gathering,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25.0
Dairy Products,250.0,Birthday,350.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,15.0
Baked Goods,400.0,Social Gathering,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,45.0
Dairy Products,320.0,Social Gathering,400.0,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,25.0
Baked Goods,400.0, Social Gathering ,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,45.0
Baked Goods,350.0,Social Gathering,400.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,25.0
Baked Goods,350.0,Social Gathering,450.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20.0
 Baked Goods ,,Social Gathering,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,High,40.0
Dairy Products,300.0,Corporate,400.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,25.0
Baked Goods,250.0,Social Gathering,350.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,20.0
Fruits,,Social Gathering,400.0,Room Temperature,Occasional,All Seasons,Finger Food,Suburban,Moderate,25.0
Dairy Products,250.0,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,Moderate,20.0
Meat,400.0,Wedding,500.0,Refrigerated,Occasional,Summer,Buffet,Rural,High,
Meat,320.0,Corporate,400.0,Room Temperature,Regular,Winter,Buffet,Urban,High,45.0
Meat,400.0, Wedding ,500.0,refrigerated,Occasional,Winter,Sit-down Dinner,Rural,Low,25.0
Fruits,,Wedding,500.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,50.0
 Fruits ,380.0,Wedding,500.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,35.0
Meat,300.0,Wedding,400.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,40.0
Meat,400.0,Wedding,,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,25.0
Fruits,320.0,corporate,400.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,35.0
Meat,380.0,Birthday,480.0,Refrigerated,Regular,All Seasons,Buffet,Suburban,Moderate,30.0
Fruits,380.0,Corporate,480.0,Refrigerated,Occasional,Winter,Buffet,Suburban,Moderate,30.0
Meat,300.0,Wedding,400.0,refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,15.0
Vegetables,380.0,Birthday,480.0,Refrigerated,Regular,Summer,Buffet,Suburban,Moderate,30.0
Meat,280.0, Corporate ,350.0,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,20.0
Baked Goods,300.0,Wedding,400.0,Room Temperature,Regular,Summer,Finger Food,Rural,Low,15.0
Meat,400.0,Corporate,350.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,35.0
Meat,220.0,Corporate,300.0,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,15.0
baked goods,290.0,Birthday,374.0,Room Temperature,Regular,Summer,Finger Food,Rural,Low,27.0
Fruits,400.0,Birthday,450.0,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,30.0
Meat,,wedding,450.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Low,20.0
Meat,,Wedding,350.0,Refrigerated,Occasional,Winter,Sit-down Dinner,Rural,Moderate,20.0
Meat,320.0,Corporate,400.0,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,25.0
Baked Goods,450.0,Birthday,500.0,Room Temperature,Regular,Summer,Finger Food,Rural,High,30.0
Baked Goods,439.0,Corporate,459.0,Room Temperature,Occasional,Winter,Buffet,Suburban,Low,36.0
 Baked Goods ,280.0,Wedding,350.0, Room Temperature ,Occasional,All Seasons,Buffet,Urban,Low,20.0
Fruits,310.0,Corporate,350.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,35.0
 Vegetables ,208.0,Wedding,282.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,22.0
Fruits,208.0,Wedding,282.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,22.0
Vegetables,250.0,Birthday,350.0,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,20.0
Baked Goods,300.0,Wedding,400.0,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,15.0
Fruits,250.0,Corporate,350.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,20.0
Baked Goods,290.0,Birthday,374.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,27.0
Fruits,342.0,Corporate,405.0,Refrigerated,Occasional,All Seasons,Finger Food,Urban,Moderate,29.0
Dairy Products,280.0,wedding,480.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,
Vegetables,434.0,Wedding,495.0,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Urban,Low,36.0
meat,230.0,Social Gathering,500.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Low,20.0
Baked Goods,491.0,Birthday,497.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,32.0
Dairy Products,250.0,Social Gathering,500.0,Room Temperature,Regular,Winter,Buffet,Urban,High,40.0
Fruits,320.0,Social Gathering,480.0,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,40.0
Fruits,400.0,Corporate,500.0,Room Temperature,Occasional,Summer,Sit-down Dinner,Suburban,High,50.0
Fruits,,Corporate,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,20.0
Fruits,,Wedding,282.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,22.0
Dairy Products,220.0,Birthday,300.0,room temperature,Regular,Winter,Finger Food,Rural,Moderate,15.0
FRUITS,300.0,Social Gathering,400.0,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,30.0
Baked Goods,453.0,Birthday,484.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,54.0
Baked Goods,300.0,Social Gathering,400.0,Room Temperature,Regular,All Seasons,Buffet,Rural,High,40.0
Dairy Products,220.0,Corporate,300.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,15.0
Fruits,450.0,Social Gathering,500.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,30.0
Meat,400.0,Social Gathering,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,50.0
Dairy Products,220.0,Corporate,300.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,15.0
Baked Goods,208.0,Corporate,282.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,22.0
Meat,280.0,Social Gathering,350.0,Refrigerated,Occasional,All Seasons,Finger Food,Rural,Moderate,20.0
DAIRY PRODUCTS,350.0,Wedding,450.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,35.0
Fruits,280.0,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,20.0
Baked Goods,350.0,Social Gathering,450.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,45.0
 Baked Goods ,400.0,Social Gathering,500.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,50.0
Baked Goods,300.0,Social Gathering,400.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40.0
Baked Goods,230.0,Social Gathering,500.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Moderate,30.0
Dairy Products,400.0,Corporate,,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,50.0
Dairy Products,300.0,Social Gathering,400.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15.0
Baked Goods,350.0,Social Gathering,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25.0
Dairy Products,,birthday,350.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,23.0
Dairy Products,438.0,Social Gathering,493.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,
Meat,491.0,Birthday,497.0,Refrigerated,Regular,Summer,Finger Food,Urban,High,32.0
Meat,300.0,Birthday,400.0,Refrigerated,Regular,Winter,Finger Food,Suburban,Low,15.0
Meat,300.0,Wedding,,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,40.0
Meat,350.0,Wedding,450.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,35.0
Meat,292.0,Corporate,470.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,50.0
Meat,300.0,Wedding,400.0,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,25.0
Baked Goods,430.0,Corporate,477.0,Room Temperature,Regular,Summer,Buffet,Urban,Low,29.0
Fruits,220.0,Corporate,300.0,Room Temperature,Regular,Summer,Finger Food,Urban,Low,15.0
Meat,320.0,Wedding,400.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,35.0
Fruits,300.0,Corporate,1130.0,Refrigerated,Regular,Winter,Finger Food,Rural,Moderate,15.0
Meat,765.0,Wedding,450.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,35.0
Meat,320.0,Corporate,400.0,REFRIGERATED,Regular,Winter,Finger Food,Suburban,Moderate,
Fruits,400.0,Birthday,500.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,50.0
Baked Goods,250.0,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,25.0
Dairy Products,261.0,social gathering,350.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,23.0
Fruits,220.0,Corporate,300.0,Refrigerated,Regular,Winter,Finger Food,Rural,Low,15.0
Meat,400.0,Wedding,500.0,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,High,45.0
Meat,280.0,Corporate,350.0,Room Temperature,Regular,Winter,Finger Food,Urban,Low,15.0
Vegetables,320.0,Wedding,400.0,Room Temperature,Regular,Summer,Buffet,Rural,High,35.0
Fruits,320.0,Wedding,400.0,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,35.0
Meat,250.0,Corporate,350.0,Refrigerated,Regular,Winter,Finger Food,Rural,Moderate,20.0
Vegetables,280.0,Birthday,350.0,Refrigerated,Regular,Winter,Finger Food,Rural,Low,20.0
Meat,300.0,Birthday,400.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Low,15.0
Meat,300.0,Corporate,400.0,refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,15.0
Meat,,Corporate,450.0,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,20.0
Meat,220.0,Corporate,450.0,Refrigerated,Occasional,Winter,Finger Food,Urban,Moderate,30.0
Vegetables,280.0,Corporate,350.0,Refrigerated,Occasional,Summer,Finger Food,Rural,Low,
Meat,400.0,Corporate,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,
Vegetables,320.0,Birthday,400.0,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,High,40.0
Dairy Products,250.0,Corporate,500.0,Room Temperature,Regular,Winter,Buffet,Urban,High,40.0
Baked Goods,310.0,Birthday,450.0,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,25.0
Vegetables,220.0,Corporate,300.0,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,20.0
Baked Goods,220.0,Corporate,300.0,Room Temperature,Regular,Winter,Finger Food,Urban,Low,15.0
Fruits,350.0,Wedding,450.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40.0
Meat,320.0,Corporate,400.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,25.0
FRUITS,300.0,Wedding,400.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,35.0
Vegetables,320.0,Wedding,400.0,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,35.0
Fruits,320.0,Social Gathering,400.0,Refrigerated,Regular,All Seasons,Buffet,Rural,High,30.0
Fruits,320.0,Social Gathering,400.0,Refrigerated,Regular,All Seasons,Buffet,Rural,High,30.0
Dairy Products,310.0,Corporate,450.0,Refrigerated,Regular,All Seasons,Buffet,Urban,Low,25.0
Meat,300.0,Corporate,400.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,35.0
Vegetables,250.0,Corporate,350.0,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,High,40.0
Fruits,220.0,Wedding,,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,15.0
Meat,350.0,Wedding,450.0,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,25.0
Baked Goods,400.0,Corporate,500.0,Room Temperature,Regular,Summer,Finger Food,Urban,High,40.0
Dairy Products,250.0,Wedding,350.0,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,10.0
Vegetables,,Corporate,371.0,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,27.0
Baked Goods,350.0,Wedding,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,25.0
Baked Goods,220.0,Birthday,300.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Low,15.0
Fruits,250.0,Birthday,350.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,20.0
Baked Goods,220.0,Wedding,300.0,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15.0
Dairy Products,280.0,Corporate,350.0,Room Temperature,Regular,Winter,Finger Food,Urban,Low,20.0
Meat,488.0,Social Gathering,498.0,Refrigerated,Regular,All Seasons,Finger Food,Rural,High,63.0
Fruits,220.0,Social Gathering,300.0,Room Temperature,Regular,Winter,Finger Food,Rural,Low,15.0
Fruits,320.0,Social Gathering,400.0,Refrigerated,Regular,All Seasons,Buffet,Suburban,High,45.0
Meat,320.0,Corporate,400.0,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Moderate,25.0
Dairy Products,207.0,Birthday,280.0,Room Temperature,Regular,Summer,Finger Food,Rural,High,20.0
Fruits,,Wedding,350.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,20.0
BAKED GOODS,765.0,Corporate,400.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,20.0
BAKED GOODS,310.0,Corporate,350.0,Room Temperature,Regular,Winter,Finger Food,Suburban,High,35.0
 Fruits ,400.0,Social Gathering,500.0, Refrigerated ,Regular,Summer,Sit-down Dinner,Suburban,High,45.0
Fruits,400.0,Birthday,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,25.0
Fruits,491.0,Social Gathering,497.0,Room Temperature,Regular,Summer,Finger Food,Urban,High,32.0
Baked Goods,220.0,Wedding,300.0,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15.0
Baked Goods,220.0,Wedding,300.0,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,15.0
Vegetables,320.0,Corporate,400.0,Refrigerated,Occasional,Winter,Sit-down Dinner,Urban,High,35.0
Vegetables,350.0,Corporate,450.0,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,25.0
Baked Goods,400.0,Wedding,500.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,50.0
Baked Goods,320.0,Wedding,400.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25.0
Dairy Products,,Corporate,400.0,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,20.0
Baked Goods,250.0,Wedding,350.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40.0
Baked Goods,280.0,Wedding,350.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,25.0
Dairy Products,320.0,Corporate,400.0,Room Temperature,Regular,All Seasons,Buffet,Urban,High,45.0
Meat,250.0,Corporate,350.0,Refrigerated,Occasional,Winter,Sit-down Dinner,Suburban,Moderate,20.0
Vegetables,400.0,Corporate,500.0,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,Low,25.0
Fruits,400.0,Birthday,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,25.0
Meat,300.0,Social Gathering,400.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35.0
Dairy Products,491.0,Birthday,497.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,
Baked Goods,250.0,Corporate,350.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,30.0
Fruits,320.0, Social Gathering ,400.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,
Fruits,220.0,Social Gathering,300.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,15.0
Fruits,280.0,Social Gathering,350.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,20.0
Dairy Products,400.0,BIRTHDAY,500.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,45.0
Baked Goods,350.0,WEDDING,450.0,ROOM TEMPERATURE,Regular,Summer,Sit-down Dinner,Suburban,Moderate,30.0
Baked Goods,400.0,Social Gathering,500.0, Room Temperature ,Regular,Winter,Finger Food,Suburban,High,40.0
Baked Goods,250.0,Social Gathering,350.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,40.0
Dairy Products,400.0,Corporate,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,25.0
FRUITS,400.0,Social Gathering,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,50.0
Baked Goods,310.0,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,35.0
Baked Goods,350.0,Corporate,1130.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,45.0
Baked Goods,320.0,Corporate,400.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,40.0
Baked Goods,220.0,Wedding,300.0,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15.0
Dairy Products,280.0,Birthday,350.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,20.0
Dairy Products,,Birthday,350.0,Room Temperature,Regular,All Seasons,Buffet,Rural,Moderate,20.0
Dairy Products,250.0,Wedding,350.0,room temperature,Regular,All Seasons,Finger Food,Urban,High,30.0
Baked Goods,220.0,Wedding,300.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,15.0
Baked Goods,300.0,Social Gathering,,Room Temperature,Occasional,All Seasons,Buffet,Suburban,Low,20.0
Dairy Products,350.0,Birthday,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25.0
Dairy Products,342.0,Social Gathering,405.0,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,29.0
Baked Goods,380.0,Social Gathering,500.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,35.0
Dairy Products,250.0,Birthday,350.0, Room Temperature ,Regular,All Seasons,Sit-down Dinner,Suburban,High,40.0
Baked Goods,400.0,Corporate,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,50.0
Baked Goods,400.0,Wedding,500.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,50.0
Baked Goods,400.0,Corporate,500.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,40.0
Dairy Products,400.0,Wedding,500.0,Room Temperature,Occasional,Winter,Sit-down Dinner,Urban,High,40.0
Dairy Products,320.0,Wedding,,ROOM TEMPERATURE,Regular,Winter,Sit-down Dinner,Suburban,High,35.0
Dairy Products,342.0,Social Gathering,405.0,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,29.0
Dairy Products,400.0,Social Gathering,500.0,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,
Dairy Products,320.0,Social Gathering,400.0,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,35.0
Baked Goods,300.0,Social Gathering,400.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,20.0
Dairy Products,220.0,Social Gathering,300.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,15.0
Baked Goods,400.0,Wedding,500.0,Room Temperature,Occasional,Winter,Sit-down Dinner,Suburban,High,40.0
Vegetables,350.0,Wedding,450.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25.0
Vegetables,429.0,Social Gathering,496.0,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Low,42.0
Baked Goods,380.0,Social Gathering,400.0,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,25.0
Baked Goods,250.0,Birthday,350.0,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,40.0
Meat,250.0,Social Gathering,350.0,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25.0
Dairy Products,250.0,corporate,350.0,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,20.0
Baked Goods,300.0,Social Gathering,400.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,
Dairy Products,320.0,Social Gathering,480.0,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,40.0
Baked Goods,300.0,Social Gathering,400.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,20.0
Dairy Products,380.0,Social Gathering,400.0,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,25.0
Baked Goods,320.0,Social Gathering,400.0,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40.0
Dairy Products,300.0,Social Gathering,400.0,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25.0
Dairy Products,397.0,Social Gathering,482.0,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,31.0
Dairy Products,280.0,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,15.0
Baked Goods,,Birthday,450.0,Room Temperature,Occasional,All Seasons,Sit-down Dinner,Suburban,Moderate,25.0
Dairy Products,280.0,Social Gathering,350.0,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20.0
Meat,488.0,Wedding,498.0,Refrigerated,Regular,Winter,Finger Food,Rural,High,63.0
